Timestamp,Total_load,T_LR,RH_LR,TotalOccupancy,HP_load
2015-06-29 23:00:00,299.45877856867656,22.563086999360184,0.5031258960081169,1,1130.6995333333332
2015-06-29 23:15:00,466.7246273517609,22.54018271944232,0.5018683208221016,1,340.54493333333335
2015-06-29 23:30:00,754.7908545970917,22.517320280453006,0.5027050860854169,1,47.8196
2015-06-29 23:45:00,659.9129155635834,22.576870595957207,0.5116881581768747,1,548.7448
2015-06-30 00:00:00,375.8646248658498,22.46791430831098,0.5121445739059841,1,95.56546666666668
2015-06-30 00:15:00,386.6458119710287,22.50635893778538,0.5168178360330035,1,504.84293333333335
2015-06-30 00:30:00,293.9061715602875,22.528242501641053,0.5210682905201189,1,33.53593333333333
2015-06-30 00:45:00,263.0747604529063,22.457419422274825,0.520796838755666,1,113.67286666666664
2015-06-30 01:00:00,341.113939110438,22.483007903912107,0.52402379098016,1,31.812866666666668
2015-06-30 01:15:00,285.8124654452006,22.4766329974602,0.5264978135001509,1,46.8642
2015-06-30 01:30:00,348.9689650217692,22.511621709981107,0.5210512683529621,1,398.0178
2015-06-30 01:45:00,281.9745270093282,22.512956449431087,0.506105144921947,1,221.02026666666669
2015-06-30 02:00:00,262.5458023866018,22.495683546430897,0.505690966404309,1,345.5732
2015-06-30 02:15:00,367.9240227063497,22.495001306465788,0.497622504689965,1,288.5048
2015-06-30 02:30:00,333.8915701071421,22.527748175432897,0.4989199336908975,1,33.803533333333334
2015-06-30 02:45:00,251.0756352742513,22.48343326709796,0.4959789185917728,1,212.2194
2015-06-30 03:00:00,379.422833220164,22.49690636479164,0.4989499219505751,1,48.97013333333334
2015-06-30 03:15:00,287.87215865453084,22.515456879056504,0.4968912488388192,1,1413.7553333333333
2015-06-30 03:30:00,320.3337877591451,22.51160033154255,0.4936473842085906,1,48.62406666666666
2015-06-30 03:45:00,313.51240719159443,22.52924323482737,0.499083568314443,1,31.659533333333336
2015-06-30 04:00:00,261.1232871850332,22.502566308568003,0.4939960216223084,1,699.0006666666667
2015-06-30 04:15:00,347.92698601086937,22.532424655228628,0.5022784821743146,1,287.6694
2015-06-30 04:30:00,335.98407810529073,22.53593990775336,0.4947916350155869,1,364.89973333333336
2015-06-30 04:45:00,234.60676202774047,22.535222002633645,0.5004560908460006,1,634.3571333333333
2015-06-30 05:00:00,1284.9279056549071,22.486200631163804,0.5056159859685244,1,47.45693333333334
2015-06-30 05:15:00,1252.318753385544,22.55155241318882,0.5172934056900858,1,657.7488666666667
2015-06-30 05:30:00,1639.984330336253,22.597281762879188,0.5218451484039265,1,488.6210666666667
2015-06-30 05:45:00,606.9841285387675,22.598804402788115,0.5192233553397341,1,320.93873333333335
2015-06-30 06:00:00,1.0,22.57757272231968,0.515208637911941,1,754.9662666666667
2015-06-30 06:15:00,1.0,22.590174951215413,0.5153533390620931,1,634.6725333333333
2015-06-30 06:30:00,1.0,22.5853122113345,0.5127158844014693,1,660.2482666666667
2015-06-30 06:45:00,1.0,22.599375242831687,0.5122035486431508,1,31.1718
2015-06-30 07:00:00,1.0,22.58999826900475,0.5123296410675244,1,486.1072666666667
2015-06-30 07:15:00,1.0,22.59159584973946,0.5128783055720414,1,84.75146666666666
2015-06-30 07:30:00,1.0,22.59107958457249,0.5184164945755538,1,30.88906666666667
2015-06-30 07:45:00,1.0,22.572785967096326,0.52652285170466,1,766.5957333333333
2015-06-30 08:00:00,1.0,22.55518292192776,0.5178816945785323,1,239.8522
2015-06-30 08:15:00,1.0,22.56909437197004,0.5287858164369885,1,608.1280666666667
2015-06-30 08:30:00,1.0,22.584083477616563,0.5326438564297759,1,798.503
2015-06-30 08:45:00,1.0,22.62146813800588,0.5333305279695343,1,657.1104666666666
2015-06-30 09:00:00,1.0,22.64606029631385,0.5167367603788225,1,47.8054
2015-06-30 09:15:00,1.0,22.68691464740956,0.5144397170320023,1,96.4022
2015-06-30 09:30:00,1.0,22.70004234770056,0.5078085706383442,1,33.624066666666664
2015-06-30 09:45:00,1.0,22.737370080750967,0.5078091502453728,1,376.4212
2015-06-30 10:00:00,1.0,22.850093247872746,0.5175824696025133,1,1067.9516666666666
2015-06-30 10:15:00,1.0,22.8322199552588,0.5182571971300525,1,544.6477333333333
2015-06-30 10:30:00,1.0,22.91302045545497,0.5215496903992464,1,31.716066666666663
2015-06-30 10:45:00,1.0,22.81798001719569,0.513548116653639,1,31.32614285714286
2015-06-30 11:00:00,1.0,21.662902606579088,0.4476140715995286,1,623.4933333333333
2015-06-30 11:15:00,1.0,22.77797070772625,0.4991898284000576,1,1112.282866666667
2015-06-30 11:30:00,1.0,22.769552671133862,0.4990109397934384,1,30.9892
2015-06-30 11:45:00,1.0,22.80805046907319,0.4955490189773244,1,1242.0138000000002
2015-06-30 12:00:00,1.0,20.700423122303608,0.4281300201055791,1,735.8284666666666
2015-06-30 12:15:00,1.0,22.787647211418363,0.4956046984267196,1,937.2254666666666
2015-06-30 12:30:00,1.0,22.336771593121235,0.3432110872792071,1,845.8025333333334
2015-06-30 12:45:00,1.0,20.52025335165905,0.5028572180824237,1,1191.4210666666663
2015-06-30 13:00:00,0.0,22.73136533179101,0.4945524014177374,0,1259.0643333333333
2015-06-30 13:15:00,0.0,21.630322627341734,0.4285172645412767,0,235.9377333333333
2015-06-30 13:30:00,0.0,22.72241968953769,0.49407128208612,0,1289.7196
2015-06-30 13:45:00,0.0,22.730379219416303,0.4392688023972136,0,566.8433125
2015-06-30 14:00:00,0.0,22.70225814987635,0.4914666118233872,0,1258.807
